q=1 t=1 f=-13.7 min_f=-13.7
q=2 t=0 f=-13.7058 min_f=-13.7058
q=2 t=1 f=-13.7045 min_f=-13.7058
q=2 t=2 f=-13.7058 min_f=-13.7058
q=2 t=3 f=-13.7058 min_f=-13.7058
q=2 t=4 f=-13.7055 min_f=-13.7058
q=2 t=5 f=-13.7045 min_f=-13.7058
q=2 t=6 f=-13.7055 min_f=-13.7058
q=2 t=7 f=-13.7043 min_f=-13.7058
q=2 t=8 f=-13.7046 min_f=-13.7058
q=2 t=9 f=-13.7045 min_f=-13.7058
q=2 t=10 f=-13.7043 min_f=-13.7058
q=2 t=11 f=-13.7043 min_f=-13.7058
q=2 t=12 f=-13.7055 min_f=-13.7058
q=2 t=13 f=-13.7058 min_f=-13.7058
q=2 t=14 f=-13.7045 min_f=-13.7058
q=2 t=15 f=-13.7055 min_f=-13.7058
q=2 t=16 f=-13.7043 min_f=-13.7058
q=2 t=17 f=-13.7054 min_f=-13.7058
q=2 t=18 f=-13.7058 min_f=-13.7058
q=2 t=19 f=-13.7055 min_f=-13.7058
q=3 t=0 f=-13.7141 min_f=-13.7141
q=3 t=1 f=-13.7159 min_f=-13.7159
q=3 t=2 f=-13.7138 min_f=-13.7159
q=3 t=3 f=-13.7129 min_f=-13.7159
q=3 t=4 f=-13.7141 min_f=-13.7159
q=3 t=5 f=-13.7128 min_f=-13.7159
q=3 t=6 f=-13.7137 min_f=-13.7159
q=3 t=7 f=-13.7145 min_f=-13.7159
q=3 t=8 f=-13.7157 min_f=-13.7159
q=3 t=9 f=-13.7138 min_f=-13.7159
q=3 t=10 f=-13.7137 min_f=-13.7159
q=3 t=11 f=-13.715 min_f=-13.7159
q=3 t=12 f=-13.7134 min_f=-13.7159
q=3 t=13 f=-13.7129 min_f=-13.7159
q=3 t=14 f=-13.7129 min_f=-13.7159
q=3 t=15 f=-13.7157 min_f=-13.7159
q=3 t=16 f=-13.7146 min_f=-13.7159
q=3 t=17 f=-13.7124 min_f=-13.7159
q=3 t=18 f=-13.7136 min_f=-13.7159
q=3 t=19 f=-13.7146 min_f=-13.7159
q=4 t=0 f=-13.7271 min_f=-13.7271
q=4 t=1 f=-13.7272 min_f=-13.7272
q=4 t=2 f=-13.7264 min_f=-13.7272
q=4 t=3 f=-13.7265 min_f=-13.7272
q=4 t=4 f=-13.7271 min_f=-13.7272
q=4 t=5 f=-13.7262 min_f=-13.7272
q=4 t=6 f=-13.7265 min_f=-13.7272
q=4 t=7 f=-13.7276 min_f=-13.7276
q=4 t=8 f=-13.7265 min_f=-13.7276
q=4 t=9 f=-13.7267 min_f=-13.7276
q=4 t=10 f=-13.7274 min_f=-13.7276
q=4 t=11 f=-13.7262 min_f=-13.7276
q=4 t=12 f=-13.7274 min_f=-13.7276
q=4 t=13 f=-13.7266 min_f=-13.7276
q=4 t=14 f=-13.7262 min_f=-13.7276
q=4 t=15 f=-13.7274 min_f=-13.7276
q=4 t=16 f=-13.7272 min_f=-13.7276
q=4 t=17 f=-13.7271 min_f=-13.7276
q=4 t=18 f=-13.7274 min_f=-13.7276
q=4 t=19 f=-13.7265 min_f=-13.7276
q=5 t=0 f=-13.726 min_f=-13.726
q=5 t=1 f=-13.7264 min_f=-13.7264
q=5 t=2 f=-13.7261 min_f=-13.7264
q=5 t=3 f=-13.727 min_f=-13.727
q=5 t=4 f=-13.7263 min_f=-13.727
q=5 t=5 f=-13.7274 min_f=-13.7274
q=5 t=6 f=-13.727 min_f=-13.7274
q=5 t=7 f=-13.7263 min_f=-13.7274
q=5 t=8 f=-13.7274 min_f=-13.7274
q=5 t=9 f=-13.7268 min_f=-13.7274
q=5 t=10 f=-13.727 min_f=-13.7274
q=5 t=11 f=-13.7274 min_f=-13.7274
q=5 t=12 f=-13.7261 min_f=-13.7274
q=5 t=13 f=-13.7259 min_f=-13.7274
q=5 t=14 f=-13.7262 min_f=-13.7274
q=5 t=15 f=-13.727 min_f=-13.7274
q=5 t=16 f=-13.7263 min_f=-13.7274
q=5 t=17 f=-13.7261 min_f=-13.7274
q=5 t=18 f=-13.7279 min_f=-13.7279
q=5 t=19 f=-13.727 min_f=-13.7279
