q=1 t=1 f=-14.3032 min_f=-14.3032
q=2 t=0 f=-14.3434 min_f=-14.3434
q=2 t=1 f=-14.3577 min_f=-14.3577
q=2 t=2 f=-14.3579 min_f=-14.3579
q=2 t=3 f=-14.3585 min_f=-14.3585
q=2 t=4 f=-14.345 min_f=-14.3585
q=2 t=5 f=-14.3585 min_f=-14.3585
q=2 t=6 f=-14.358 min_f=-14.3585
q=2 t=7 f=-14.3448 min_f=-14.3585
q=2 t=8 f=-14.3448 min_f=-14.3585
q=2 t=9 f=-14.3577 min_f=-14.3585
q=2 t=10 f=-14.3447 min_f=-14.3585
q=2 t=11 f=-14.3578 min_f=-14.3585
q=2 t=12 f=-14.3433 min_f=-14.3585
q=2 t=13 f=-14.3577 min_f=-14.3585
q=2 t=14 f=-14.3585 min_f=-14.3585
q=2 t=15 f=-14.3577 min_f=-14.3585
q=2 t=16 f=-14.3447 min_f=-14.3585
q=2 t=17 f=-14.3578 min_f=-14.3585
q=2 t=18 f=-14.3585 min_f=-14.3585
q=2 t=19 f=-14.3579 min_f=-14.3585
q=3 t=0 f=-14.4215 min_f=-14.4215
q=3 t=1 f=-14.4217 min_f=-14.4217
q=3 t=2 f=-14.4143 min_f=-14.4217
q=3 t=3 f=-14.4217 min_f=-14.4217
q=3 t=4 f=-14.4215 min_f=-14.4217
q=3 t=5 f=-14.428 min_f=-14.428
q=3 t=6 f=-14.4214 min_f=-14.428
q=3 t=7 f=-14.4127 min_f=-14.428
q=3 t=8 f=-14.4217 min_f=-14.428
q=3 t=9 f=-14.4243 min_f=-14.428
q=3 t=10 f=-14.4243 min_f=-14.428
q=3 t=11 f=-14.4217 min_f=-14.428
q=3 t=12 f=-14.4249 min_f=-14.428
q=3 t=13 f=-14.4217 min_f=-14.428
q=3 t=14 f=-14.428 min_f=-14.428
q=3 t=15 f=-14.4217 min_f=-14.428
q=3 t=16 f=-14.428 min_f=-14.428
q=3 t=17 f=-14.4243 min_f=-14.428
q=3 t=18 f=-14.4217 min_f=-14.428
q=3 t=19 f=-14.4217 min_f=-14.428
q=4 t=0 f=-14.4982 min_f=-14.4982
q=4 t=1 f=-14.4968 min_f=-14.4982
q=4 t=2 f=-14.4963 min_f=-14.4982
q=4 t=3 f=-14.4966 min_f=-14.4982
q=4 t=4 f=-14.4963 min_f=-14.4982
q=4 t=5 f=-14.4963 min_f=-14.4982
q=4 t=6 f=-14.4963 min_f=-14.4982
q=4 t=7 f=-14.4962 min_f=-14.4982
q=4 t=8 f=-14.4976 min_f=-14.4982
q=4 t=9 f=-14.4976 min_f=-14.4982
q=4 t=10 f=-14.4966 min_f=-14.4982
q=4 t=11 f=-14.4963 min_f=-14.4982
q=4 t=12 f=-14.4966 min_f=-14.4982
q=4 t=13 f=-14.4963 min_f=-14.4982
q=4 t=14 f=-14.4978 min_f=-14.4982
q=4 t=15 f=-14.4976 min_f=-14.4982
q=4 t=16 f=-14.4963 min_f=-14.4982
q=4 t=17 f=-14.4973 min_f=-14.4982
q=4 t=18 f=-14.4963 min_f=-14.4982
q=4 t=19 f=-14.4971 min_f=-14.4982
q=5 t=0 f=-14.4962 min_f=-14.4962
q=5 t=1 f=-14.4962 min_f=-14.4962
q=5 t=2 f=-14.4968 min_f=-14.4968
q=5 t=3 f=-14.4975 min_f=-14.4975
q=5 t=4 f=-14.497 min_f=-14.4975
q=5 t=5 f=-14.4962 min_f=-14.4975
q=5 t=6 f=-14.4965 min_f=-14.4975
q=5 t=7 f=-14.4978 min_f=-14.4978
q=5 t=8 f=-14.4982 min_f=-14.4982
q=5 t=9 f=-14.4975 min_f=-14.4982
q=5 t=10 f=-14.4966 min_f=-14.4982
q=5 t=11 f=-14.4973 min_f=-14.4982
q=5 t=12 f=-14.4965 min_f=-14.4982
q=5 t=13 f=-14.4962 min_f=-14.4982
q=5 t=14 f=-14.4974 min_f=-14.4982
q=5 t=15 f=-14.4968 min_f=-14.4982
q=5 t=16 f=-14.4962 min_f=-14.4982
q=5 t=17 f=-14.497 min_f=-14.4982
q=5 t=18 f=-14.4955 min_f=-14.4982
q=5 t=19 f=-14.4961 min_f=-14.4982
q=6 t=0 f=-14.4963 min_f=-14.4963
q=6 t=1 f=-14.4961 min_f=-14.4963
q=6 t=2 f=-14.497 min_f=-14.497
q=6 t=3 f=-14.4965 min_f=-14.497
q=6 t=4 f=-14.4957 min_f=-14.497
q=6 t=5 f=-14.4963 min_f=-14.497
q=6 t=6 f=-14.4966 min_f=-14.497
q=6 t=7 f=-14.4949 min_f=-14.497
q=6 t=8 f=-14.4965 min_f=-14.497
q=6 t=9 f=-14.4975 min_f=-14.4975
q=6 t=10 f=-14.4961 min_f=-14.4975
