q=1 t=1 f=-13.9247 min_f=-13.9247 detect_q=1
q=2 t=0 f=-13.9736 min_f=-13.9736 detect_q=2
q=2 t=1 f=-13.9627 min_f=-13.9736 detect_q=2
q=2 t=2 f=-13.9739 min_f=-13.9739 detect_q=2
q=2 t=3 f=-13.976 min_f=-13.976 detect_q=2
q=2 t=4 f=-13.976 min_f=-13.976 detect_q=2
q=2 t=5 f=-13.976 min_f=-13.976 detect_q=2
q=2 t=6 f=-13.9737 min_f=-13.976 detect_q=2
q=2 t=7 f=-13.976 min_f=-13.976 detect_q=2
q=2 t=8 f=-13.976 min_f=-13.976 detect_q=2
q=2 t=9 f=-13.9737 min_f=-13.976 detect_q=2
q=2 t=10 f=-13.974 min_f=-13.976 detect_q=2
q=2 t=11 f=-13.974 min_f=-13.976 detect_q=2
q=2 t=12 f=-13.976 min_f=-13.976 detect_q=2
q=2 t=13 f=-13.9739 min_f=-13.976 detect_q=2
q=2 t=14 f=-13.9627 min_f=-13.976 detect_q=2
q=2 t=15 f=-13.976 min_f=-13.976 detect_q=2
q=2 t=16 f=-13.976 min_f=-13.976 detect_q=2
q=2 t=17 f=-13.9757 min_f=-13.976 detect_q=2
q=2 t=18 f=-13.9757 min_f=-13.976 detect_q=2
q=2 t=19 f=-13.9627 min_f=-13.976 detect_q=2
q=3 t=0 f=-14.0379 min_f=-14.0379 detect_q=3
q=3 t=1 f=-14.0493 min_f=-14.0493 detect_q=3
q=3 t=2 f=-14.0386 min_f=-14.0493 detect_q=3
q=3 t=3 f=-14.0381 min_f=-14.0493 detect_q=3
q=3 t=4 f=-14.0499 min_f=-14.0499 detect_q=3
q=3 t=5 f=-14.0434 min_f=-14.0499 detect_q=3
q=3 t=6 f=-14.0379 min_f=-14.0499 detect_q=3
q=3 t=7 f=-14.0509 min_f=-14.0509 detect_q=3
q=3 t=8 f=-14.0381 min_f=-14.0509 detect_q=3
q=3 t=9 f=-14.0421 min_f=-14.0509 detect_q=3
q=3 t=10 f=-14.0421 min_f=-14.0509 detect_q=3
q=3 t=11 f=-14.0381 min_f=-14.0509 detect_q=3
q=3 t=12 f=-14.0329 min_f=-14.0509 detect_q=3
q=3 t=13 f=-14.0507 min_f=-14.0509 detect_q=3
q=3 t=14 f=-14.051 min_f=-14.051 detect_q=3
q=3 t=15 f=-14.0493 min_f=-14.051 detect_q=3
q=3 t=16 f=-14.0509 min_f=-14.051 detect_q=3
q=3 t=17 f=-14.0381 min_f=-14.051 detect_q=3
q=3 t=18 f=-14.0426 min_f=-14.051 detect_q=3
q=3 t=19 f=-14.0511 min_f=-14.0511 detect_q=3
q=4 t=0 f=-14.1171 min_f=-14.1171 detect_q=4
q=4 t=1 f=-14.1176 min_f=-14.1176 detect_q=4
q=4 t=2 f=-14.1172 min_f=-14.1176 detect_q=4
q=4 t=3 f=-14.1175 min_f=-14.1176 detect_q=4
q=4 t=4 f=-14.1172 min_f=-14.1176 detect_q=4
q=4 t=5 f=-14.1171 min_f=-14.1176 detect_q=4
q=4 t=6 f=-14.1175 min_f=-14.1176 detect_q=4
q=4 t=7 f=-14.1176 min_f=-14.1176 detect_q=4
q=4 t=8 f=-14.118 min_f=-14.118 detect_q=4
q=4 t=9 f=-14.118 min_f=-14.118 detect_q=4
q=4 t=10 f=-14.1171 min_f=-14.118 detect_q=4
q=4 t=11 f=-14.1172 min_f=-14.118 detect_q=4
q=4 t=12 f=-14.1175 min_f=-14.118 detect_q=4
q=4 t=13 f=-14.1172 min_f=-14.118 detect_q=4
q=4 t=14 f=-14.1176 min_f=-14.118 detect_q=4
q=4 t=15 f=-14.1175 min_f=-14.118 detect_q=4
q=4 t=16 f=-14.1184 min_f=-14.1184 detect_q=4
q=4 t=17 f=-14.1183 min_f=-14.1184 detect_q=4
q=4 t=18 f=-14.118 min_f=-14.1184 detect_q=4
q=4 t=19 f=-14.1184 min_f=-14.1184 detect_q=4
q=5 t=0 f=-14.1192 min_f=-14.1192 detect_q=4
q=5 t=1 f=-14.1171 min_f=-14.1192 detect_q=4
q=5 t=2 f=-14.1168 min_f=-14.1192 detect_q=5
q=5 t=3 f=-14.1168 min_f=-14.1192 detect_q=5
q=5 t=4 f=-14.1168 min_f=-14.1192 detect_q=5
q=5 t=5 f=-14.1177 min_f=-14.1192 detect_q=5
q=5 t=6 f=-14.1177 min_f=-14.1192 detect_q=5
q=5 t=7 f=-14.1168 min_f=-14.1192 detect_q=5
q=5 t=8 f=-14.1167 min_f=-14.1192 detect_q=4
