q=1 t=1 f=-14.2288 min_f=-14.2288
q=2 t=0 f=-14.3702 min_f=-14.3702
q=2 t=1 f=-14.3714 min_f=-14.3714
q=2 t=2 f=-14.3653 min_f=-14.3714
q=2 t=3 f=-14.3734 min_f=-14.3734
q=2 t=4 f=-14.3734 min_f=-14.3734
q=2 t=5 f=-14.3734 min_f=-14.3734
q=2 t=6 f=-14.3703 min_f=-14.3734
q=2 t=7 f=-14.3653 min_f=-14.3734
q=2 t=8 f=-14.3714 min_f=-14.3734
q=2 t=9 f=-14.3735 min_f=-14.3735
q=2 t=10 f=-14.3653 min_f=-14.3735
q=2 t=11 f=-14.3734 min_f=-14.3735
q=2 t=12 f=-14.3735 min_f=-14.3735
q=2 t=13 f=-14.3734 min_f=-14.3735
q=2 t=14 f=-14.3734 min_f=-14.3735
q=2 t=15 f=-14.3702 min_f=-14.3735
q=2 t=16 f=-14.3656 min_f=-14.3735
q=2 t=17 f=-14.3734 min_f=-14.3735
q=2 t=18 f=-14.3738 min_f=-14.3738
q=2 t=19 f=-14.3702 min_f=-14.3738
q=3 t=0 f=-14.5343 min_f=-14.5343
q=3 t=1 f=-14.5343 min_f=-14.5343
q=3 t=2 f=-14.5415 min_f=-14.5415
q=3 t=3 f=-14.5473 min_f=-14.5473
q=3 t=4 f=-14.5473 min_f=-14.5473
q=3 t=5 f=-14.5462 min_f=-14.5473
q=3 t=6 f=-14.5348 min_f=-14.5473
q=3 t=7 f=-14.5492 min_f=-14.5492
q=3 t=8 f=-14.5342 min_f=-14.5492
q=3 t=9 f=-14.5492 min_f=-14.5492
q=3 t=10 f=-14.5413 min_f=-14.5492
q=3 t=11 f=-14.5496 min_f=-14.5496
q=3 t=12 f=-14.5403 min_f=-14.5496
q=3 t=13 f=-14.5413 min_f=-14.5496
q=3 t=14 f=-14.5487 min_f=-14.5496
q=3 t=15 f=-14.5343 min_f=-14.5496
q=3 t=16 f=-14.534 min_f=-14.5496
q=3 t=17 f=-14.5413 min_f=-14.5496
q=3 t=18 f=-14.5415 min_f=-14.5496
q=3 t=19 f=-14.5476 min_f=-14.5496
q=4 t=0 f=-14.7128 min_f=-14.7128
q=4 t=1 f=-14.7134 min_f=-14.7134
q=4 t=2 f=-14.7134 min_f=-14.7134
q=4 t=3 f=-14.7142 min_f=-14.7142
q=4 t=4 f=-14.7137 min_f=-14.7142
q=4 t=5 f=-14.7137 min_f=-14.7142
q=4 t=6 f=-14.7137 min_f=-14.7142
q=4 t=7 f=-14.7134 min_f=-14.7142
q=4 t=8 f=-14.7134 min_f=-14.7142
q=4 t=9 f=-14.7142 min_f=-14.7142
q=4 t=10 f=-14.7142 min_f=-14.7142
q=4 t=11 f=-14.7127 min_f=-14.7142
q=4 t=12 f=-14.7137 min_f=-14.7142
q=4 t=13 f=-14.7134 min_f=-14.7142
q=4 t=14 f=-14.7148 min_f=-14.7148
q=4 t=15 f=-14.7134 min_f=-14.7148
q=4 t=16 f=-14.7128 min_f=-14.7148
q=4 t=17 f=-14.7127 min_f=-14.7148
q=4 t=18 f=-14.7135 min_f=-14.7148
q=4 t=19 f=-14.713 min_f=-14.7148
q=5 t=0 f=-14.7137 min_f=-14.7137
q=5 t=1 f=-14.7143 min_f=-14.7143
q=5 t=2 f=-14.7142 min_f=-14.7143
q=5 t=3 f=-14.7148 min_f=-14.7148
q=5 t=4 f=-14.7129 min_f=-14.7148
q=5 t=5 f=-14.7137 min_f=-14.7148
q=5 t=6 f=-14.7151 min_f=-14.7151
q=5 t=7 f=-14.713 min_f=-14.7151
q=5 t=8 f=-14.7126 min_f=-14.7151
q=5 t=9 f=-14.7134 min_f=-14.7151
q=5 t=10 f=-14.7148 min_f=-14.7151
q=5 t=11 f=-14.7148 min_f=-14.7151
q=5 t=12 f=-14.7134 min_f=-14.7151
q=5 t=13 f=-14.7135 min_f=-14.7151
q=5 t=14 f=-14.7143 min_f=-14.7151
q=5 t=15 f=-14.7135 min_f=-14.7151
q=5 t=16 f=-14.7142 min_f=-14.7151
q=5 t=17 f=-14.7128 min_f=-14.7151
q=5 t=18 f=-14.7128 min_f=-14.7151
q=5 t=19 f=-14.7128 min_f=-14.7151
q=6 t=0 f=-14.7128 min_f=-14.7128
q=6 t=1 f=-14.7127 min_f=-14.7128
q=6 t=2 f=-14.7134 min_f=-14.7134
q=6 t=3 f=-14.7127 min_f=-14.7134
q=6 t=4 f=-14.7127 min_f=-14.7134
q=6 t=5 f=-14.7126 min_f=-14.7134
q=6 t=6 f=-14.7131 min_f=-14.7134
q=6 t=7 f=-14.7126 min_f=-14.7134
q=6 t=8 f=-14.7127 min_f=-14.7134
q=6 t=9 f=-14.7126 min_f=-14.7134
q=6 t=10 f=-14.7127 min_f=-14.7134
q=6 t=11 f=-14.7134 min_f=-14.7134
q=6 t=12 f=-14.7125 min_f=-14.7134
q=6 t=13 f=-14.7127 min_f=-14.7134
q=6 t=14 f=-14.7133 min_f=-14.7134
q=6 t=15 f=-14.7133 min_f=-14.7134
q=6 t=16 f=-14.7126 min_f=-14.7134
q=6 t=17 f=-14.7127 min_f=-14.7134
q=6 t=18 f=-14.7125 min_f=-14.7134
q=6 t=19 f=-14.7133 min_f=-14.7134
q=7 t=0 f=-14.7115 min_f=-14.7115
q=7 t=1 f=-14.7126 min_f=-14.7126
q=7 t=2 f=-14.7121 min_f=-14.7126
q=7 t=3 f=-14.7139 min_f=-14.7139
q=7 t=4 f=-14.7124 min_f=-14.7139
q=7 t=5 f=-14.7126 min_f=-14.7139
q=7 t=6 f=-14.714 min_f=-14.714
q=7 t=7 f=-14.7143 min_f=-14.7143
q=7 t=8 f=-14.7132 min_f=-14.7143
